SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Краснооктябрьский район";"Лицо";"Не указано";194
"Краснооктябрьский район";"Лицо";"Кирпич, камень";4489
"Краснооктябрьский район";"Лицо";"Панель";87
"Краснооктябрьский район";"Лицо";"Блок";171
"Краснооктябрьский район";"Лицо";"Дерево";7545
"Краснооктябрьский район";"Лицо";"Смешанный материал";970
"Краснооктябрьский район";"Лицо";"Другой материал";0
"Кстовский район";"Лицо";"Не указано";1126
"Кстовский район";"Лицо";"Кирпич, камень";21431
"Кстовский район";"Лицо";"Панель";14620
"Кстовский район";"Лицо";"Блок";392
"Кстовский район";"Лицо";"Дерево";6542
"Кстовский район";"Лицо";"Смешанный материал";2088
"Кстовский район";"Лицо";"Другой материал";407
"Кулебакский район";"Лицо";"Не указано";207
"Кулебакский район";"Лицо";"Кирпич, камень";3618
"Кулебакский район";"Лицо";"Панель";3766
"Кулебакский район";"Лицо";"Блок";94
"Кулебакский район";"Лицо";"Дерево";9253
"Кулебакский район";"Лицо";"Смешанный материал";713
"Кулебакский район";"Лицо";"Другой материал";0
"Лукояновский район";"Лицо";"Не указано";899
"Лукояновский район";"Лицо";"Кирпич, камень";8583
"Лукояновский район";"Лицо";"Панель";4722
"Лукояновский район";"Лицо";"Блок";596
"Лукояновский район";"Лицо";"Дерево";16615
"Лукояновский район";"Лицо";"Смешанный материал";2605
"Лукояновский район";"Лицо";"Другой материал";303
"Лысковский район";"Лицо";"Не указано";1303
"Лысковский район";"Лицо";"Кирпич, камень";22873
"Лысковский район";"Лицо";"Панель";4847
"Лысковский район";"Лицо";"Блок";217
"Лысковский район";"Лицо";"Дерево";10748
"Лысковский район";"Лицо";"Смешанный материал";2481
"Лысковский район";"Лицо";"Другой материал";42
"Навашинский район";"Лицо";"Не указано";695
"Навашинский район";"Лицо";"Кирпич, камень";11903
"Навашинский район";"Лицо";"Панель";1556
"Навашинский район";"Лицо";"Блок";383
"Навашинский район";"Лицо";"Дерево";9869
"Навашинский район";"Лицо";"Смешанный материал";2939
"Навашинский район";"Лицо";"Другой материал";186
"Павловский район";"Лицо";"Не указано";865
"Павловский район";"Лицо";"Кирпич, камень";12583
"Павловский район";"Лицо";"Панель";6166
"Павловский район";"Лицо";"Блок";375
"Павловский район";"Лицо";"Дерево";20262
"Павловский район";"Лицо";"Смешанный материал";2249
"Павловский район";"Лицо";"Другой материал";755
"Первомайский район";"Лицо";"Не указано";814
"Первомайский район";"Лицо";"Кирпич, камень";7061
"Первомайский район";"Лицо";"Панель";3054
"Первомайский район";"Лицо";"Блок";257
"Первомайский район";"Лицо";"Дерево";10117
"Первомайский район";"Лицо";"Смешанный материал";720
"Первомайский район";"Лицо";"Другой материал";223
"Перевозский район";"Лицо";"Не указано";1135
"Перевозский район";"Лицо";"Кирпич, камень";9128
"Перевозский район";"Лицо";"Панель";2742
"Перевозский район";"Лицо";"Блок";521
"Перевозский район";"Лицо";"Дерево";3536
"Перевозский район";"Лицо";"Смешанный материал";653
"Перевозский район";"Лицо";"Другой материал";185
"Пильнинский район";"Лицо";"Не указано";160
"Пильнинский район";"Лицо";"Кирпич, камень";10686
"Пильнинский район";"Лицо";"Панель";362
"Пильнинский район";"Лицо";"Блок";59
"Пильнинский район";"Лицо";"Дерево";12935
"Пильнинский район";"Лицо";"Смешанный материал";914
"Пильнинский район";"Лицо";"Другой материал";156
"Починковский район";"Лицо";"Не указано";505
"Починковский район";"Лицо";"Кирпич, камень";10037
"Починковский район";"Лицо";"Панель";3750
"Починковский район";"Лицо";"Блок";445
"Починковский район";"Лицо";"Дерево";15260
"Починковский район";"Лицо";"Смешанный материал";3338
"Починковский район";"Лицо";"Другой материал";338
"Семеновский район";"Лицо";"Не указано";1184
"Семеновский район";"Лицо";"Кирпич, камень";14018
"Семеновский район";"Лицо";"Панель";7197
"Семеновский район";"Лицо";"Блок";496
"Семеновский район";"Лицо";"Дерево";26379
"Семеновский район";"Лицо";"Смешанный материал";640
"Семеновский район";"Лицо";"Другой материал";78
"Сергачский район";"Лицо";"Не указано";1116
"Сергачский район";"Лицо";"Кирпич, камень";18015
"Сергачский район";"Лицо";"Панель";1354
"Сергачский район";"Лицо";"Блок";724
"Сергачский район";"Лицо";"Дерево";10939
"Сергачский район";"Лицо";"Смешанный материал";3088
"Сергачский район";"Лицо";"Другой материал";455
"Сеченовский район";"Лицо";"Не указано";187
"Сеченовский район";"Лицо";"Кирпич, камень";5889
"Сеченовский район";"Лицо";"Панель";604
"Сеченовский район";"Лицо";"Блок";319
"Сеченовский район";"Лицо";"Дерево";8791
"Сеченовский район";"Лицо";"Смешанный материал";1527
"Сеченовский район";"Лицо";"Другой материал";367
"Сосновский район";"Лицо";"Не указано";411
"Сосновский район";"Лицо";"Кирпич, камень";8254
"Сосновский район";"Лицо";"Панель";624
"Сосновский район";"Лицо";"Блок";109
"Сосновский район";"Лицо";"Дерево";10549
"Сосновский район";"Лицо";"Смешанный материал";1844
"Сосновский район";"Лицо";"Другой материал";39
"Спасский район";"Лицо";"Не указано";309
"Спасский район";"Лицо";"Кирпич, камень";6307
"Спасский район";"Лицо";"Панель";1011
"Спасский район";"Лицо";"Блок";194
"Спасский район";"Лицо";"Дерево";4944
"Спасский район";"Лицо";"Смешанный материал";645
"Спасский район";"Лицо";"Другой материал";20
"Тонкинский район";"Лицо";"Не указано";99
"Тонкинский район";"Лицо";"Кирпич, камень";4366
"Тонкинский район";"Лицо";"Панель";334
"Тонкинский район";"Лицо";"Блок";268
"Тонкинский район";"Лицо";"Дерево";5856
"Тонкинский район";"Лицо";"Смешанный материал";134
"Тонкинский район";"Лицо";"Другой материал";9
"Тоншаевский район";"Лицо";"Не указано";154
"Тоншаевский район";"Лицо";"Кирпич, камень";4998
"Тоншаевский район";"Лицо";"Панель";124
"Тоншаевский район";"Лицо";"Блок";407
"Тоншаевский район";"Лицо";"Дерево";10470
"Тоншаевский район";"Лицо";"Смешанный материал";571
"Тоншаевский район";"Лицо";"Другой материал";80
"Уренский район";"Лицо";"Не указано";840
"Уренский район";"Лицо";"Кирпич, камень";8733
"Уренский район";"Лицо";"Панель";2110
"Уренский район";"Лицо";"Блок";1190
"Уренский район";"Лицо";"Дерево";18482
"Уренский район";"Лицо";"Смешанный материал";488
"Уренский район";"Лицо";"Другой материал";81
